Attraction,Region,County,District,CRU,Postcode,Category,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Estimate?,Visitor admission brackets,% change in admissions 2022 to 2023,% change in admissions 2019 to 2023,Charging,Charge band
Sywell Aviation Museum,East Midlands,Northamptonshire,Wellingborough,Rural,NN6 0BN,Museum and/or Art Gallery,Not available,Not available,Not available,10000,12500,14500,An Estimate,"10,001 to 20,000",16%,Not available,No,Not Applicable
Fleetwood Museum,North West,Lancashire,Fleetwood,Coastal,FY7 6BT,Museum and/or Art Gallery,Not available,Not available,Not available,9903,18692,18754,Exact,"10,001 to 20,000",0%,Not available,Yes,£3.00- £4.99
Port Sunlight Museum,North West,Merseyside,,Urban,CH62 5DX,Heritage / Visitor Centre,Not available,Not available,Not available,9660,15351,18402,Exact,"10,001 to 20,000",20%,Not available,Yes,£7.50-£9.99
River & Rowing Museum,South East,Oxfordshire,South Oxfordshire,Rural,RG9 1BF,Museum and/or Art Gallery,Not available,Not available,Not available,9020,10862,12300,Exact,"10,001 to 20,000",13%,Not available,Yes,£7.50-£9.99
Shepherd Wheel,Y&H,South Yorkshire,Sheffield,Urban,,Museum and/or Art Gallery,Not available,Not available,Not available,8313,18209,18787,Exact,"10,001 to 20,000",3%,Not available,No,Not Applicable
Ely Museum,East of England,Cambridgeshire,East Cambridgeshire,Urban,CB7 4LS,Museum and/or Art Gallery,Not available,Not available,Not available,8094,Not available,12091,Exact,"10,001 to 20,000",Not available,Not available,Yes,£5.00-£7.49
Moulton Mill,East Midlands,Lincolnshire,South Holland,Rural,PE12 6QB,Heritage / Visitor Centre,Not available,Not available,Not available,8000,10000,10000,An Estimate,"10,000 or less",0%,Not available,Yes,£5.00-£7.49
Jackfield Tile Museum,West Midlands,Shropshire,Telford,Urban,,Museum and/or Art Gallery,Not available,Not available,Not available,7880,11820,15834,,"10,001 to 20,000",34%,Not available,Yes,Not available
Coalport China Museum,West Midlands,Shropshire,Telford,Urban,,Museum and/or Art Gallery,Not available,Not available,Not available,7857.39645,13279,18243,,"10,001 to 20,000",37%,Not available,Yes,Not available
Topsail Charters Ltd,East of England,Essex,Maldon,Coastal,CM9 5HN,Other Historic / Scenic Transport Operator,Not available,Not available,Not available,6344,7807,6411,Exact,"10,000 or less",-18%,Not available,Yes,£15 or Over
Vagina Museum,London,Greater London,Tower Hamlets,Urban,E2 9PF,Museum and/or Art Gallery,Not available,Not available,Not available,6000,40000,14000,An Estimate,"10,001 to 20,000",-65%,Not available,No,Not Applicable
St Alfege Church,London,Greater London,Greenwich,Urban,SE10 9BJ,Place of Worship (still in use),Not available,Not available,Not available,6000,13000,17078,Exact,"10,001 to 20,000",31%,Not available,No,Not Applicable
Dartmouth Museum,South West,Devon,South Hams,Coastal,TQ6 9PZ,Museum and/or Art Gallery,Not available,Not available,Not available,6000,8150,8300,Exact,"10,000 or less",2%,Not available,Yes,£5.00-£7.49
Newton Abbot Museum,South West,Devon,Teignbridge,Urban,TQ12 1JQ,Museum and/or Art Gallery,Not available,Not available,Not available,5961,12556,14928,Exact,"10,001 to 20,000",19%,Not available,No,Not Applicable
Lytham Windmill,North West,Lancashire,Flyde,Coastal,FY8 1LW,Museum and/or Art Gallery,Not available,Not available,Not available,5663,15823,16799,An Estimate,"10,001 to 20,000",6%,Not available,No,Not Applicable
AGC Museum,South East,Hampshire,Winchester,Urban,SO23 8TS,Museum and/or Art Gallery,Not available,Not available,Not available,5111,11921,15547,An Estimate,"10,001 to 20,000",30%,Not available,No,Not Applicable
We'll Meet Again Homefront Museum,East Midlands,Lincolnshire,Boston,Rural,PE22 0LY,Museum and/or Art Gallery,Not available,Not available,Not available,5000,6500,7220,Exact,"10,000 or less",11%,Not available,Yes,£5.00-£7.49
Astley Green Colliery Museum,North West,Greater Manchester,Wigan,Urban,M29 7JB,Museum and/or Art Gallery,Not available,Not available,Not available,5000,2000,2500,An Estimate,"10,000 or less",25%,Not available,No,Not Applicable
Ditchling Museum of Art & Craft,South East,West Sussex,Hassocks,Rural,BN6 8SP,Museum and/or Art Gallery,Not available,Not available,Not available,4919,13160,11020,Exact,"10,001 to 20,000",-16%,Not available,Yes,£7.50-£9.99
London Canal Museum,London,Greater London,Islington,Urban,N1 9RT,Museum and/or Art Gallery,Not available,Not available,Not available,4694,13595,20220,Exact,"20,001-50,000",49%,Not available,Yes,£5.00-£7.49
The Solway Aviation Museum,North West,Cumbria,Carlisle,Rural,CA6 4NW,Museum and/or Art Gallery,Not available,Not available,Not available,4591,8520,10365,An Estimate,"10,001 to 20,000",22%,Not available,Yes,£5.00-£7.49
The Village Church Farm,East Midlands,Lincolnshire,East Lindsey,Coastal,PE25 2HF,Museum and/or Art Gallery,Not available,Not available,Not available,4406,8528,9800,An Estimate,"10,000 or less",15%,Not available,Yes,£5.00-£7.49
York Mansion House,Y&H,North Yorkshire,York,Urban,YO1 9QN,Historic House/ House and Garden / Palace,Not available,Not available,Not available,4237,5463,7000,An Estimate,"10,000 or less",28%,Not available,Yes,£5.00-£7.49
Cambridge Museum of Technology,East of England,Cambridgeshire,Cambridge,Urban,CB5 8LD,Museum and/or Art Gallery,Not available,Not available,Not available,3991,3547,5382,Exact,"10,000 or less",52%,Not available,Yes,£5.00-£7.49
St Albans Clock Tower,East of England,Hertfordshire,St Albans,Urban,AL1,Historic Monument / Archaeological Site,Not available,Not available,Not available,3970,4983,9812,Exact,"10,000 or less",97%,Not available,Yes,Under £3.00
Hardy's Cottage,South West,Dorset,Higher Bockhampton,Rural,,Historic House/ House and Garden / Palace,1947,Not available,Not available,3718,10635,13975,Exact,"10,001 to 20,000",31%,Not available,Yes,Not available
Foxton Canal Museum,East Midlands,Leicestershire,Harborough,Rural,LE16 7RA,Heritage / Visitor Centre,Not available,Not available,Not available,3706,7200,8741,Exact,"10,000 or less",21%,Not available,Yes,£3.00- £4.99
Winchester College Treasury,South East,Hampshire,Winchester,Urban,SO23 9NA,Museum and/or Art Gallery,Not available,Not available,Not available,3449,9088,12649,Exact,"10,001 to 20,000",39%,Not available,No,Not Applicable
Old Court Nurseries & Picton Garden,West Midlands,Herefordshire,Malvern,Rural,WR13 6QE,Garden,Not available,Not available,Not available,3300,3576,4916,Exact,"10,000 or less",37%,Not available,Yes,£5.00-£7.49
Bow Street Police Museum,London,Greater London,Westminster,Urban,WC2E 7AH,Museum and/or Art Gallery,Not available,Not available,Not available,3029,3176,5589,Exact,"10,000 or less",76%,Not available,Yes,£5.00-£7.49
Lincolnshire Coast Light Railway,East Midlands,Lincolnshire,East Lindsey,Coastal,PE25 1JF,Steam  / Heritage Railway,Not available,Not available,Not available,3000,3500,3500,An Estimate,"10,000 or less",0%,Not available,Yes,Under £3.00
War Horse Valley Country Farm Park,South West,Devon,Mid Devon,Rural,EX19 8SN,Farm / Rare Breeds / Farm Animals,Not available,Not available,Not available,3000,3000,3000,An Estimate,"10,000 or less",0%,Not available,Yes,£5.00-£7.49
Max Gate,South West,Dorset,Dorchester,Urban,,Historic House/ House and Garden / Palace,Not available,Not available,Not available,2983,9553,10995,Exact,"10,001 to 20,000",15%,Not available,Yes,Not available
The Almonry Museum & Tourist Information Centre,West Midlands,Worcestershire,Wychavon,Urban,WR11 4BQ,Museum and/or Art Gallery,Not available,Not available,Not available,2797,3472,3894,Exact,"10,000 or less",12%,Not available,Yes,£5.00-£7.49
Little Hall Museum,East of England,Suffolk ,Babergh,Urban,CO10 9QZ,Historic House/ House and Garden / Palace,Not available,Not available,Not available,2792,5054,6564,Exact,"10,000 or less",30%,Not available,Yes,£5.00-£7.49
Milton Keynes Museum,South East,Buckinghamshire,Milton Keynes,Urban,MK12 5EL,Museum and/or Art Gallery,Not available,Not available,Not available,2765,20341,35065,Exact,"20,001-50,000",72%,Not available,Yes,£15 or Over
Bagot's Castle,West Midlands,Warwickshire,Warwick,Rural,CV8 3AR,Castle / Fort,Not available,Not available,Not available,2747,2435,2606,Exact,"10,000 or less",7%,Not available,Yes,£5.00-£7.49
The Trolleybus Museum,East Midlands,Lincolnshire,North Lincolnshire,Rural,DN8 5SX,Museum and/or Art Gallery,Not available,Not available,Not available,2632,5131,6290,Exact,"10,000 or less",23%,Not available,Yes,£10.00-£14.99
Robert Peel Society & Police Museum,West Midlands,Warwickshire,North Warwickshire,Urban,B78 2AE,Museum and/or Art Gallery,Not available,Not available,Not available,2500,2500,2500,An Estimate,"10,000 or less",0%,Not available,No,Not Applicable
Abbeydale Industrial Hamlet,Y&H,South Yorkshire,Sheffield,Coastal,,Museum and/or Art Gallery,Not available,Not available,Not available,2367,10461,11248,Exact,"10,001 to 20,000",8%,Not available,No,Not Applicable
"16th Century Painted Room, Ledbury",West Midlands,Herefordshire,,Rural,HR8 1DH,Other Historic Property,Not available,Not available,Not available,2149,2836,3368,Exact,"10,000 or less",19%,Not available,No,Not Applicable
Darby Houses,West Midlands,Shropshire,Telford,Urban,,Historic House/ House and Garden / Palace,Not available,Not available,Not available,2034.4,2543,4000,,"10,000 or less",57%,Not available,Yes,£5.00-£7.49
493rd Bomb Group Museum,East of England,Suffolk ,Suffolk Coastal,Rural,IP13 6QS,Museum and/or Art Gallery,Not available,Not available,Not available,2000,2000,2000,An Estimate,"10,000 or less",0%,Not available,No,Not Applicable
ASTON MANOR ROAD TRANSPORT MUSEUM LTD,West Midlands,Staffordshire,Walsall,Urban,WS9 8TP,Museum and/or Art Gallery,Not available,Not available,Not available,1965,4370,5274,Exact,"10,000 or less",21%,Not available,Yes,£3.00- £4.99
Leith Hill Place,South East,Surrey,Mole Valley,Rural,,Country Park,Not available,Not available,Not available,1887,6188,Closed in 2023,Exact,Closed,Not available,Not available,Closed in 2023,Not Applicable
Wiltshire and Swindon History Centre,South West,Wiltshire,,Rural,SN15 3QN,Heritage / Visitor Centre,Not available,Not available,Not available,1571,1950,1507,An Estimate,"10,000 or less",-23%,Not available,No,Not Applicable
"The Armitt: Museum, Gallery, Library",North West,Cumbria,South Lakeland,Rural,LA22 9BL,Museum and/or Art Gallery,Not available,Not available,Not available,1561,3776,4079,Exact,"10,000 or less",8%,Not available,Yes,£5.00-£7.49
Little Malvern Priory,West Midlands,Worcestershire,Malvern Hills,Rural,WR13 6QJ,Place of Worship (still in use),Not available,Not available,Not available,1500,1700,1800,An Estimate,"10,000 or less",6%,Not available,No,Not Applicable
Glenside Hospital Museum,South West,Gloucestershire,,Urban,BS16 1DD,Museum and/or Art Gallery,Not available,Not available,Not available,1417,2224,4020,Exact,"10,000 or less",81%,Not available,Yes,£5.00-£7.49
Castle Hill and Victoria Tower,Y&H,West Yorkshire,Kirklees,Rural,HD4 6TA,Historic Monument / Archaeological Site,Not available,Not available,Not available,1276,7209,7426,Exact,"10,000 or less",3%,Not available,Yes,Under £3.00
Bognor Regis Museum,South East,West Sussex,Arun,Coastal,PO21 1XA,Museum and/or Art Gallery,Not available,Not available,Not available,1271,2337,5444,Exact,"10,000 or less",133%,Not available,No,Not Applicable
Stoneacre,South East,Kent,Maidstone,Rural,,Historic House/ House and Garden / Palace,3465,Not available,Not available,1059,2096,3684,Exact,"10,000 or less",76%,Not available,Yes,Not available
Henley-in-Arden Museum & Heritage Centre,West Midlands,Warwickshire,Stratford-on-Avon,Urban,B95 5BS,Museum and/or Art Gallery,Not available,Not available,Not available,1025,2209,2169,Exact,"10,000 or less",-2%,Not available,No,Not Applicable
Bredgar & Wormshill Light Railway,South East,Kent,Swale,Rural,ME9 8AT,Steam  / Heritage Railway,Not available,Not available,Not available,1000,5000,12000,An Estimate,"10,001 to 20,000",140%,Not available,Yes,£15 or Over
Carey's Secret Garden,South West,Dorset,Wareham,Rural,,Garden,Not available,Not available,Not available,1000,2380,2690,An Estimate,"10,000 or less",13%,Not available,Yes,£7.50-£9.99
Kingswood Heritage Museum,South West,Gloucestershire,South Gloucestershire,Urban,BS30 8XT,Museum and/or Art Gallery,Not available,Not available,Not available,1000,2272,2954,Exact,"10,000 or less",30%,Not available,Yes,£3.00- £4.99
"The Priory Church, Bridlington",Y&H,East Riding of Yorkshire,,Urban,YO16 7JX,Place of Worship (still in use),Not available,Not available,Not available,1000,1500,3000,An Estimate,"10,000 or less",100%,Not available,No,Not Applicable
George Marshall Medical Museum,West Midlands,Worcestershire,Worcester,Urban,WR5 1DD,Museum and/or Art Gallery,Not available,Not available,Not available,1000,1287,1777,An Estimate,"10,000 or less",38%,Not available,No,Not Applicable
Harrow School Old Speech Room Gallery,London,Greater London,Harrow,Urban,HA1 3HP,Museum and/or Art Gallery,Not available,Not available,Not available,1000,1000,1200,An Estimate,"10,000 or less",20%,Not available,No,Not Applicable
Dawlish Museum,South West,Devon,Teignbridge,Coastal,EX7 9QH,Museum and/or Art Gallery,Not available,Not available,Not available,1000,800,1366,Exact,"10,000 or less",71%,Not available,Yes,Not available
The Ure Museum of Greek Archaeology,South East,Berkshire,Reading,Urban,RG6 6EL,Museum and/or Art Gallery,Not available,Not available,Not available,924,3082,3662,Exact,"10,000 or less",19%,Not available,No,Not Applicable
West Somerset Rural Life Museum,South West,Somerset,West Somerset,Rural,TA24 8HN,Museum and/or Art Gallery,Not available,Not available,Not available,915,920,989,Exact,"10,000 or less",8%,Not available,Yes,£3.00- £4.99
Coddington Vineyard,West Midlands,Herefordshire,Ledbury,Rural,,Distillery / Vineyard or Brewery,Not available,Not available,Not available,900,1500,1500,An Estimate,"10,000 or less",0%,Not available,Yes,Not available
Prickwillow Engine Museum,East of England,Cambridgeshire,East Cambridgeshire,Rural,CB7 4UN,Museum and/or Art Gallery,Not available,Not available,Not available,860,1963,1639,An Estimate,"10,000 or less",-17%,Not available,Yes,£5.00-£7.49
Croydon Airport Visitor Centre,London,Greater London,Croydon,Urban,CR0 0XZ,Heritage / Visitor Centre,Not available,Not available,Not available,800,1250,1522,Exact,"10,000 or less",22%,Not available,No,Not Applicable
Wraxall Vineyard,South West,Somerset,Mendip,Rural,BA4 6RQ,Distillery / Vineyard or Brewery,Not available,Not available,Not available,650,2020,5236,Exact,"10,000 or less",159%,Not available,Yes,£15 or Over
Aldbourne Heritage Centre,South West,Wiltshire,,Rural,SN8 2DU,Heritage / Visitor Centre,Not available,Not available,Not available,602,1754,2094,Exact,"10,000 or less",19%,Not available,No,Not Applicable
St Georges Church,London,Greater London,Camden,Urban,WC1A 2HR,Place of Worship (still in use),Not available,Not available,Not available,450,1100,3400,An Estimate,"10,000 or less",209%,Not available,No,Not Applicable
Ashburton History Museum,South West,Devon,Teignbridge,Rural,TQ15 7DT,Museum and/or Art Gallery,Not available,Not available,Not available,443,699,735,Exact,"10,000 or less",5%,Not available,No,Not Applicable
Blackdown Ridge Estate Vineyard,South East,West Sussex,Chichester,Rural,GU27 3BT,Distillery / Vineyard or Brewery,Not available,Not available,Not available,400,500,500,An Estimate,"10,000 or less",0%,Not available,Yes,£15 or Over
Aston Martin Heritage Trust,South East,Oxfordshire,South Oxfordshire,Rural,OX10 7BG,Museum and/or Art Gallery,Not available,Not available,Not available,379,1719,2125,Exact,"10,000 or less",24%,Not available,Yes,£10.00-£14.99
Diseworth Heritage Centre,East Midlands,Leicestershire,North West Leicestershire,Rural,DE74 2QF,Heritage / Visitor Centre,Not available,Not available,Not available,356,20,132,Exact,"10,000 or less",560%,Not available,No,Not Applicable
Englesea Brook Chapel & Museum,North West,Cheshire,Cheshire East,Rural,CW2 5QW,Museum and/or Art Gallery,3022,Not available,Not available,350,1200,1400,An Estimate,"10,000 or less",17%,Not available,No,Not Applicable
Charles Burrell Museum,East of England,Norfolk,Breckland,Urban,IP24 1BN,Steam  / Heritage Railway,Not available,Not available,Not available,321,4500,5200,Exact,"10,000 or less",16%,Not available,No,Not Applicable
St Andrew's Church,North East,Durham,,Rural,DL5 6JP,Place of Worship (still in use),Not available,Not available,Not available,300,400,Not available,An Estimate,Not available,Not available,Not available,No,Not Applicable
Gainsborough's House,East of England,Suffolk,Babergh,Rural,CO10 2EU,Museum and/or Art Gallery,Not available,Not available,Not available,270,5347,45591,An Estimate,"20,001-50,000",Not available,Not available,Yes,£15 or Over
Morden Hall Park,London,Greater London,Morden,Urban,,Country Park,Not available,Not available,Not available,263,3247,2163,Exact,"10,000 or less",-33%,Not available,No,Not Applicable
Heritage Workshop Centre,East of England,Suffolk ,Waveney,Coastal,NR32,Heritage / Visitor Centre,Not available,Not available,Not available,253,401,382,Exact,"10,000 or less",-5%,Not available,Yes,Under £3.00
Charles Dickens' Birthplace Museum,South East,Hampshire,Portsmouth,Coastal,PO1 4QL,Historic House/ House and Garden / Palace,Not available,Not available,Not available,167,1160,1319,Exact,"10,000 or less",14%,Not available,Yes,£3.00- £4.99
Izaak Walton's Cottage,West Midlands,Staffordshire,Stafford,Rural,ST15 0PA,Historic House/ House and Garden / Palace,Not available,Not available,Not available,150,594,557,Exact,"10,000 or less",-6%,Not available,No,Not Applicable
Oundle Museum,East Midlands,Northamptonshire,East Northamptonshire,Rural,PE8 4BW,Museum and/or Art Gallery,Not available,Not available,Not available,150,150,758,Exact,"10,000 or less",405%,Not available,No,Not Applicable
The Computer Sheds,Y&H,East Riding of Yorkshire,,Rural,YO25 9LY,Science / Technology Centre,Not available,Not available,Not available,150,50,35,Exact,"10,000 or less",-30%,Not available,Yes,£15 or Over
Alfreton and District Heritage Centre,East Midlands,Derbyshire,Amber Valley,Urban,DE55 7HA,Heritage / Visitor Centre,Not available,Not available,Not available,100,300,300,An Estimate,"10,000 or less",0%,Not available,No,Not Applicable
Bay Museum,East of England,Essex,Canvey Island,Coastal,SS8 0AY,Museum and/or Art Gallery,Not available,Not available,Not available,100,200,100,An Estimate,"10,000 or less",-50%,Not available,No,Not Applicable
Upminster Windmill,London,Greater London,Havering,Urban,RM154QH,Other Historic Property,Not available,Not available,Not available,53,300,1200,An Estimate,"10,000 or less",300%,Not available,Yes,£5.00-£7.49
Mere Museum,South West,Wiltshire,,Rural,,Museum and/or Art Gallery,Not available,Not available,Not available,50,1000,1500,An Estimate,"10,000 or less",50%,Not available,No,Not Applicable
Museum Collection Centre,West Midlands,West Midlands,Birmingham,Rural,,Museum and/or Art Gallery,Not available,Not available,Not available,44,1601,2309,,"10,000 or less",44%,Not available,Yes,Not available
Stoke Park Pavilions,East Midlands,Northamptonshire,South Northamptonshire,Rural,NN12 7RZ,Historic House/ House and Garden / Palace,Not available,Not available,Not available,20,124,217,Exact,"10,000 or less",75%,Not available,No,Not Applicable
Windsor and Royal Borough Museum,South East,Berkshire,Windsor and Maidenhead,Urban,SL4 1LR,Museum and/or Art Gallery,Not available,Not available,Not available,0,58565,73572,Exact,"50,001-100,000",26%,Not available,No,Not Applicable
Bayle Museum,Y&H,East Riding of Yorkshire,,Coastal,YO16 4PZ,Museum and/or Art Gallery,Not available,Not available,Not available,0,6945,6276,Exact,"10,000 or less",-10%,Not available,No,Not Applicable
Lowestoft Maritime Museum,East of England,Suffolk ,Lowestoft,Coastal,NR32 1XG,Museum and/or Art Gallery,Not available,Not available,Not available,0,4001,4412,Exact,"10,000 or less",10%,Not available,Yes,Under £3.00
Lowestoft and East Suffolk Maritime Museum,East of England,Suffolk ,Waveney,Coastal,NR32 1XG,Museum and/or Art Gallery,Not available,Not available,Not available,0,4001,4146,Exact,"10,000 or less",4%,Not available,Yes,Under £3.00
Norman Lockyer Observatory and James Lockyer Planetarium,South West,Devon,East Devon,Rural,EX10 0NY,Science / Technology Centre,Not available,Not available,Not available,0,1973,2495,Exact,"10,000 or less",26%,Not available,Yes,£10.00-£14.99
Eastney Beam Engine House,South East,Hampshire,Portsmouth,Coastal,PO4 9JF,Museum and/or Art Gallery,Not available,Not available,Not available,0,809,1483,Exact,"10,000 or less",83%,Not available,No,Not Applicable
Brighstone Village Museum,South East,Isle of Wight,Isle of Wight,Rural,PO30 4AX,Museum and/or Art Gallery,Not available,Not available,Not available,0,500,500,An Estimate,"10,000 or less",0%,Not available,No,Not Applicable
Rose Street Cottage of Curiosities (formerly Sheerness Heritage Centre),South East,Kent,Swale,Coastal,ME12 1AJ,Museum and/or Art Gallery,Not available,Not available,Not available,0,120,300,An Estimate,"10,000 or less",150%,Not available,Yes,Under £3.00
The Old Manor,East Midlands,Derbyshire,Derbyshire Dales,Rural,,Historic House/ House and Garden / Palace,Not available,Not available,Closed,Not available,1283,844,Exact,"10,000 or less",-34%,Not available,Yes,Not available
Apethorpe Hall,East Midlands,Northamptonshire,Peterborough,Rural,,Historic House/ House and Garden / Palace,Not available,Not available,Closed,Not available,0,Closed in 2023,Exact,Closed,Not available,Not available,Closed in 2023,Not Applicable
Royal Academy of Music Museum,London,Greater London,Westminster,Urban,NW1 5HT,Museum and/or Art Gallery,Not available,Not available,Closed,Closed,355,1075,An Estimate,"10,000 or less",203%,Not available,No,Not Applicable
Saxtead Green Postmill,East of England,Suffolk ,Woodbridge,Rural,,Other Historic Property,Not available,Not available,Closed,760,1472,1326,Exact,"10,000 or less",-10%,Not available,Yes,£5.00-£7.49
"Cannon Hall Museum, Park and Gardens",Y&H,South Yorkshire,Barnsley,Rural,S75 4AT,Museum and/or Art Gallery,Not available,Not available,431264,Not available,841642,983108,An Estimate,"Over 200,000",17%,Not available,No,Not Applicable
The Station,Y&H,North Yorkshire,Richmondshire,Rural,DL10 4LD,Heritage / Visitor Centre,Not available,Not available,165960,241179,405668,413928,Exact,"Over 200,000",2%,Not available,No,Not Applicable
Nunhead Cemetery,London,Greater London,Southwark,Urban,SE4 1YN,Other Historic Property,Not available,Not available,150000,Not available,90000,100000,An Estimate,"50,001-100,000",11%,Not available,No,Not Applicable
Noah's Ark Zoo Farm,South West,Somerset,North Somerset,Urban,BS48 1PG,Safari Park / Zoo / Aquarium / Aviary,Not available,Not available,144313,179966,213003,184886,Exact,"100,001-200,000",-13%,Not available,Yes,Not available
Wells Cathedral,South West,Somerset,Mendip,Rural,BA5 2UE,Place of Worship (still in use),Not available,Not available,131875,262419,324721,312264,Exact,"Over 200,000",-4%,Not available,No,Not Applicable
Bolton Central Museum,North West,Greater Manchester,Bolton,Urban,BL1 1SE,Museum and/or Art Gallery,Not available,Not available,69674,87289,200402,196731,Exact,"100,001-200,000",-2%,Not available,No,Not Applicable
New Forest Heritage Centre,South East,Hampshire,New Forest,Rural,SO43 7NY,Heritage / Visitor Centre,Not available,Not available,66000,104476,144116,150123,Exact,"100,001-200,000",4%,Not available,No,Not Applicable
Skegness Natureland Seal Sanctuary,East Midlands,Lincolnshire,East Lindsey,Coastal,PE25 1DB,Safari Park / Zoo / Aquarium / Aviary,Not available,Not available,61769,126544,112840,103258,Exact,"100,001-200,000",-8%,Not available,Yes,£10.00-£14.99
RSPB Minsmere Nature Reserve,East of England,Suffolk,Suffolk Coastal,Rural,IP17 3BY,Nature Reserve / Wetlands / Wildlife Trips,Not available,Not available,50000,75000,75000,83100,Exact,"50,001-100,000",11%,Not available,Yes,£7.50-£9.99
Highclere Castle and Gardens,South East,Hampshire,Basingstoke and Deane,Rural,RG20 9RN,Historic House/ House and Garden / Palace,Not available,Not available,47938,48568,75600,78000,An Estimate,"50,001-100,000",3%,Not available,Yes,Not available
Harcourt Arboretum,South East,Oxfordshire,OXFORD,Rural,,Garden,Not available,Not available,41281,52858,42243,36600,An Estimate,"20,001-50,000",-13%,Not available,Yes,£5.00-£7.49
Historic Newby Hall,Y&H,North Yorkshire,Harrogate,Rural,HG4 5AE,Historic House/ House and Garden / Palace,Not available,Not available,40447,104946,92032,99084,Exact,"50,001-100,000",8%,Not available,Yes,£15 or Over
Burghley,East of England,Cambridgeshire,Stamford,Rural,,Historic House/ House and Garden / Palace,Not available,Not available,31897,53937.41935,83407,154827,,"100,001-200,000",86%,Not available,Yes,£15 or Over
Deen City Farm and Riding School,London,Greater London,Merton,Urban,SW19 2RR,Farm / Rare Breeds / Farm Animals,Not available,Not available,30000,83193,130951,136275,An Estimate,"100,001-200,000",4%,Not available,No,Not Applicable
Isle of Wight Donkey Sanctuary,South East,Isle of Wight,Isle of Wight,Rural,PO38 3AA,Farm / Rare Breeds / Farm Animals,Not available,Not available,30000,80000,80000,160000,An Estimate,"100,001-200,000",100%,Not available,No,Not Applicable
International Bomber Command Centre,East Midlands,Lincolnshire,Lincoln,Rural,LN4 2HQ,Heritage / Visitor Centre,Not available,Not available,29927,61300,89070,104105,Exact,"100,001-200,000",17%,Not available,Yes,£7.50-£9.99
Bolton Central Aquarium,North West,Greater Manchester,Bolton,Urban,BL1 1SE,Safari Park / Zoo / Aquarium / Aviary,Not available,Not available,28935,51599,110140,119116,Exact,"100,001-200,000",8%,Not available,No,Not Applicable
Heatherslaw Light Railway,North East,Northumberland,,Rural,TD12 4TJ,Steam  / Heritage Railway,Not available,Not available,28000,Not available,Not available,25809,Exact,"20,001-50,000",Not available,Not available,Yes,£7.50-£9.99
British Wildlife Centre,South East,Surrey,Tandridge,Rural,RH7 6LF,Safari Park / Zoo / Aquarium / Aviary,Not available,Not available,27250,38501,47900,50643,Exact,"50,001-100,000",6%,Not available,Yes,£10.00-£14.99
Wakefield Cathedral,Y&H,West Yorkshire,Wakefield,Urban,WF1 1PJ,Place of Worship (still in use),Not available,Not available,23754,Not available,Not available,54000,An Estimate,"50,001-100,000",Not available,Not available,No,Not Applicable
Lake District Coast Aquarium,North West,Cumbria,Allerdale,Coastal,CA15 8AB,Safari Park / Zoo / Aquarium / Aviary,Not available,Not available,21473,31711,43718,40990,Exact,"20,001-50,000",-6%,Not available,Yes,£10.00-£14.99
Carr Taylor Vineyard,South East,East Sussex,Rother,Rural,TN35 4SG,Distillery / Vineyard or Brewery,Not available,Not available,21000,18000,21000,22000,An Estimate,"20,001-50,000",5%,Not available,Yes,£5.00-£7.49
Coventry Cathedral - St Michael's,West Midlands,West Midlands,Coventry,Urban,CV1 5AB,Place of Worship (still in use),Not available,Not available,18983,77134,98735,103075,An Estimate,"100,001-200,000",4%,Not available,No,Not Applicable
Beverley Minster,Y&H,East Riding of Yorkshire,,Urban,HU17 0DP,Place of Worship (still in use),Not available,Not available,18000,60000,76000,91200,An Estimate,"50,001-100,000",20%,Not available,No,Not Applicable
Roald Dahl Museum and Story Centre,South East,Buckinghamshire,Chiltern,Urban,HP16 0AL,Museum and/or Art Gallery,Not available,Not available,17660,23411,45776,58202,Exact,"50,001-100,000",27%,Not available,Yes,£7.50-£9.99
Bolton Castle,Y&H,North Yorkshire,Richmondshire,Rural,DL8 4ET,Castle / Fort,Not available,Not available,15810,30000,27591,30000,An Estimate,"20,001-50,000",9%,Not available,Yes,£10.00-£14.99
Syon House,London,Greater London,Hounslow,Urban,TW8 8JF,Historic House/ House and Garden / Palace,Not available,Not available,11460,21930,22219,23448,An Estimate,"20,001-50,000",6%,Not available,Yes,£10.00-£14.99
Royal Cornwall Museum,South West,Cornwall,,Urban,TR1 2SJ,Museum and/or Art Gallery,Not available,Not available,10257,Not available,23878,39848,Exact,"20,001-50,000",67%,Not available,Yes,£7.50-£9.99
Gisborough Priory,North East,North Yorkshire ,Redcar and Cleveland,Rural,TS14 6BX,Historic Monument / Archaeological Site,Not available,Not available,10152,27648,39809,36777,An Estimate,"20,001-50,000",-8%,Not available,No,Not Applicable
Lincolnshire Wildlife Park,East Midlands,Lincolnshire,East Lindsey,Rural,PE22 8PP,Safari Park / Zoo / Aquarium / Aviary,Not available,Not available,10000,Not available,50000,73469,Exact,"50,001-100,000",47%,Not available,Yes,Not available
South Devon Railway,South West,Devon,Teignbridge,Rural,TQ11 0DZ,Steam  / Heritage Railway,Not available,Not available,10000,115000,96380,92902,Exact,"50,001-100,000",-4%,Not available,Yes,£15 or Over
Bramall Hall,North West,Greater Manchester,Stockport,Urban,,Historic House/ House and Garden / Palace,Not available,Not available,9772,9416,34390,45836,,"20,001-50,000",33%,Not available,Yes,Not available
